,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,brand,model
81,325000,45000,Petrol,Man,1,2014,1086,5,Hyundai,i10 Magna
82,525000,58000,Diesel,Man,1,2013,1248,7,Maruti,Ertiga VDI
83,625000,48000,Petrol,Man,1,2018,1197,5,Hyundai,i20 1.2
84,4000000,18000,Petrol,Auto,1,2021,1998,5,BMW,2 Series
85,1675000,16000,Petrol,Auto,1,2022,999,5,Skoda,Kushaq 1.0
86,1000000,24000,Petrol,Man,1,2019,1497,5,Honda,City i-VTEC
87,1790000,36000,Diesel,Man,1,2021,1956,7,MG,Hector Plus
88,1390000,35000,Petrol,Auto,2,2019,1368,5,Jeep,Compass 1.4
89,610000,64000,Petrol,Man,1,2019,1199,5,Honda,Amaze E
90,775000,72000,Diesel,Man,1,2017,1248,5,Maruti,Vitara Brezza
91,460000,29900,Petrol,Man,1,2015,1197,5,Hyundai,Grand i10
92,2091000,20000,Diesel,Auto,1,2022,2198,5,Mahindra,XUV700 AX5
93,310000,160000,Diesel,Man,1,2013,1396,5,Tata,Indigo VX
94,565000,16000,Petrol,Man,1,2020,1199,5,Tata,Tiago XZ
95,900000,17000,Petrol,Man,1,2019,1199,5,Honda,WR-V i-VTEC
96,4200000,111000,Petrol,Auto,1,2018,2499,5,Lexus,NX 300h
97,2850000,38000,Diesel,Auto,2,2015,2143,5,Mercedes-Benz,M-Class ML
98,550000,32000,Diesel,Man,1,2015,1498,5,Honda,Jazz 1.5
99,450000,67000,Petrol,Man,1,2015,1198,5,Volkswagen,Polo 1.2
100,675000,50000,Petrol,Auto,1,2016,1496,5,Ford,Ecosport 1.5
101,180000,110000,Diesel,Man,2,2010,1248,5,Maruti,Swift VDI
102,775000,51000,Petrol,Auto,1,2017,1591,5,Hyundai,Verna VTVT
103,550000,83000,Diesel,Man,1,2017,1186,5,Hyundai,Grand i10
104,2400000,38000,Diesel,Auto,1,2016,1968,5,Audi,Q3 35
105,1325000,58000,Diesel,Auto,1,2018,1582,5,Hyundai,Creta 1.6
106,1100000,36000,Petrol,Man,1,2018,1591,5,Hyundai,Creta 1.6
107,1050000,23500,Petrol,Auto,1,2020,999,5,Volkswagen,Vento 1.0
108,650000,60000,Petrol,Man,1,2017,1197,5,Hyundai,i20 1.2
109,2500000,18000,Petrol,Auto,1,2018,1798,5,Skoda,Superb LK
110,600000,36500,Petrol,Man,1,2017,1199,5,Honda,Amaze V
111,3100000,25000,Petrol,Auto,1,2021,1984,5,Skoda,Superb Sportline
112,1575000,20500,Petrol,Auto,1,2020,1497,5,Kia,Seltos HTX
113,450000,30000,Petrol,Man,1,2015,1198,5,Honda,Amaze S
114,590000,59000,Petrol,Man,1,2017,1197,5,Hyundai,i20 Magna
115,1450000,80000,Diesel,Auto,1,2014,1995,5,BMW,X1 sDrive
116,380000,50000,Diesel,Man,2,2017,1186,5,Hyundai,Xcent 1.2
117,2100000,32000,Diesel,Auto,1,2021,1956,5,Tata,Harrier XZAS
118,261000,120000,Petrol,Man,2,2012,1086,5,Hyundai,i10 Era
119,110000,33000,Petrol,Auto,1,2021,1997,7,Land,Rover Discovery
120,4200000,6900,Petrol,Auto,1,2019,1998,4,Mini,3 DOOR
121,2250000,4500,Diesel,Auto,1,2022,1956,5,Tata,Harrier XZA
122,4200000,51000,Diesel,Auto,1,2018,1969,5,Volvo,S90 D4
123,1975000,12000,Diesel,Auto,1,2022,1493,5,Kia,Seltos GTX
124,950000,37000,Diesel,Man,1,2018,1248,5,Maruti,Vitara Brezza
125,1451000,35000,Diesel,Man,1,2021,1493,5,Hyundai,Verna SX
126,300000,80000,Petrol,Man,2,2016,998,5,Maruti,Wagon R
127,460000,60000,Petrol,Man,1,2016,1197,5,Hyundai,Grand i10
128,915000,10000,Petrol,Auto,1,2022,1199,5,Honda,Amaze VX
129,550000,59385,Petrol,Auto,1,2019,1197,5,Maruti,Ignis Zeta
130,1700000,51000,Diesel,Auto,2,2012,2993,5,Jaguar,XF 3.0
131,990000,74000,Diesel,Auto,1,2017,1997,7,Mahindra,XUV500 AT
